[23:47:24] [INFO] received Windows console close event; shutting log-core down
[06:15:44] [INFO] received Windows console close event; shutting log-core down
[17:50:10] [INFO] received Windows console close event; shutting log-core down
[18:03:07] [INFO] received Windows console close event; shutting log-core down
[18:06:43] [INFO] received Windows console close event; shutting log-core down
[19:02:02] [INFO] received Windows console close event; shutting log-core down
[19:05:15] [INFO] received Windows console close event; shutting log-core down
[19:13:30] [INFO] received Windows console close event; shutting log-core down
[19:25:10] [INFO] received Windows console close event; shutting log-core down
[19:28:20] [INFO] received Windows console close event; shutting log-core down
[19:37:37] [INFO] received Windows console close event; shutting log-core down
[19:39:47] [INFO] received Windows console close event; shutting log-core down
[20:11:08] [INFO] received Windows console close event; shutting log-core down
[20:12:34] [INFO] received Windows console close event; shutting log-core down
[20:17:32] [INFO] received Windows console close event; shutting log-core down
[20:29:37] [INFO] received Windows console close event; shutting log-core down
[20:33:27] [INFO] received Windows console close event; shutting log-core down
[20:45:35] [INFO] received Windows console close event; shutting log-core down
[20:47:39] [INFO] received Windows console close event; shutting log-core down
[20:55:07] [INFO] received Windows console close event; shutting log-core down
[21:31:45] [INFO] received Windows console close event; shutting log-core down
[06:24:23] [INFO] received Windows console close event; shutting log-core down
[06:41:48] [INFO] received Windows console close event; shutting log-core down
[06:51:10] [INFO] received Windows console close event; shutting log-core down
[21:28:27] [INFO] received Windows console close event; shutting log-core down
[07:22:42] [INFO] received Windows console close event; shutting log-core down
[08:04:00] [INFO] received Windows console close event; shutting log-core down
[08:09:51] [INFO] received Windows console close event; shutting log-core down
[08:10:10] [INFO] received Windows console close event; shutting log-core down
[08:34:51] [INFO] received Windows console close event; shutting log-core down
[09:31:07] [INFO] received Windows console close event; shutting log-core down
[09:38:35] [INFO] received Windows console close event; shutting log-core down
[10:00:16] [INFO] received Windows console close event; shutting log-core down
[10:11:01] [INFO] received Windows console close event; shutting log-core down
[10:25:59] [INFO] received Windows console close event; shutting log-core down
[10:26:09] [INFO] received Windows console close event; shutting log-core down
[11:28:30] [INFO] received Windows console close event; shutting log-core down
[11:29:32] [INFO] received Windows console close event; shutting log-core down
[11:44:51] [INFO] received Windows console close event; shutting log-core down
[12:05:00] [INFO] received Windows console close event; shutting log-core down
[12:15:08] [INFO] received Windows console close event; shutting log-core down
[12:49:04] [INFO] received Windows console close event; shutting log-core down
[13:00:28] [INFO] received Windows console close event; shutting log-core down
[13:12:30] [INFO] received Windows console close event; shutting log-core down
[13:12:49] [INFO] received Windows console close event; shutting log-core down
[13:37:54] [INFO] received Windows console close event; shutting log-core down
[13:45:30] [INFO] received Windows console close event; shutting log-core down
[13:47:25] [INFO] received Windows console close event; shutting log-core down
[14:14:19] [INFO] received Windows console close event; shutting log-core down
[15:48:02] [INFO] received Windows console close event; shutting log-core down
[16:12:24] [INFO] received Windows console close event; shutting log-core down
[17:00:58] [INFO] received Windows console close event; shutting log-core down
[17:10:20] [INFO] received Windows console close event; shutting log-core down
