[01/16/2015 | 11:44:47] Administrator SecretBoss has set SecretBoss's administrative level to 5
[01/18/2015 | 08:37:35] Administrator SecretBoss has set Fearless.'s administrative level to 2
[01/18/2015 | 08:58:57] Administrator SecretBoss has  saved all player's data.
[01/18/2015 | 09:24:15] Administrator SecretBoss has set SecretBoss's administrative level to 0
[01/18/2015 | 09:26:50] Administrator SecretBoss has set SecretBoss's administrative level to 5
[01/18/2015 | 10:22:00] Administrator SecretBoss has set SecretBoss's administrative level to 0
[01/18/2015 | 10:22:33] Administrator SecretBoss has set SecretBoss's administrative level to 5
[01/18/2015 | 10:29:21] Administrator SecretBoss has set SecretBoss's administrative level to 0
[01/18/2015 | 10:30:03] Administrator SecretBoss has set SecretBoss's administrative level to 5
[01/18/2015 | 21:58:32] Player Fearless. has changed his/her password.
[01/22/2015 | 12:19:34] Administrator SecretBoss has  saved all player's data.
[01/23/2015 | 05:21:37] Administrator SecretBoss has set Fearless.'s name to KazEndless
[01/23/2015 | 05:22:30] Administrator SecretBoss has set KazEndless's administrative level to 2
[01/23/2015 | 05:24:57] Administrator SecretBoss has set KazEndless's administrative level to 3
[01/23/2015 | 05:28:56] Administrator SecretBoss has  saved all player's data.
[01/23/2015 | 11:52:48] Administrator SecretBoss has set DaBigBoss's administrative level to 5
[01/23/2015 | 12:21:32] Administrator SecretBoss has set Tyler_J_Smith's administrative level to 1
[01/23/2015 | 13:16:56] Administrator SecretBoss has set SecretBoss's name to blackNred
[01/23/2015 | 13:18:49] Administrator blackNred has set blackNred's administrative level to 5
[01/23/2015 | 13:19:46] Administrator blackNred has  saved all player's data.
[01/23/2015 | 13:28:04] Administrator SecretBoss has set Tyler_J_Smith's administrative level to 2
[01/23/2015 | 14:43:51] Administrator blackNred has set Tyler_J_Smith's administrative level to 0
[01/23/2015 | 14:51:14] Administrator blackNred has set Tyler_J_Smith's administrative level to 2
[01/23/2015 | 15:06:15] Administrator blackNred has  saved all player's data.
[01/23/2015 | 16:30:57] Administrator blackNred has  saved all player's data.
[01/23/2015 | 17:19:15] Administrator blackNred has set cawfee's administrative level to 5
[01/23/2015 | 17:23:22] Administrator blackNred has set blackNred's administrative level to 0
[01/23/2015 | 18:49:51] Administrator SecretBoss has  saved all player's data.
[01/24/2015 | 06:28:35] Administrator SecretBoss has set DaBigBoss's administrative level to 5
[01/24/2015 | 15:58:04] Administrator DaBigBoss has set Xristos's administrative level to 3
[01/24/2015 | 15:58:47] Administrator DaBigBoss has set Xristos's administrative level to 0
[01/26/2015 | 11:55:27] Administrator blackNred has set blackNred's administrative level to 5
[01/26/2015 | 12:14:39] Administrator blackNred has set blackNred's administrative level to 0
[01/26/2015 | 12:20:06] Administrator blackNred has set blackNred's administrative level to 5
[01/27/2015 | 11:16:21] Administrator blackNred has set EatDust's administrative level to 1
[01/30/2015 | 09:55:47] Administrator blackNred has set Tyler_J_Smith's administrative level to 3
[01/31/2015 | 04:19:03] Administrator blackNred has  saved all player's data.
[02/01/2015 | 12:35:55] Administrator blackNred has  saved all player's data.
[02/07/2015 | 03:17:32] Administrator blackNred has set Mr.Falcon's administrative level to 5
[02/07/2015 | 03:18:29] Administrator blackNred has  saved all player's data.
[02/08/2015 | 07:04:37] Player KazEndless has changed his/her password.
[02/08/2015 | 11:19:01] Administrator blackNred has set DaBig's administrative level to 5
[02/09/2015 | 08:17:22] Player Bansi has changed his/her password.
[02/09/2015 | 09:45:24] Administrator blackNred has set EatDust's administrative level to 2
