[01/16/2015 | 11:44:59] <!> Admin Chat SecretBoss: test
[01/18/2015 | 10:08:19] <!> Admin Chat SecretBoss: asd
[01/23/2015 | 11:52:27] <!> Admin Chat SecretBoss: test
[01/23/2015 | 11:52:29] <!> Admin Chat SecretBoss: mila edo
[01/23/2015 | 11:52:52] <!> Admin Chat SecretBoss: mila edo
[01/23/2015 | 11:52:56] <!> Admin Chat SecretBoss: ok gia to host
[01/23/2015 | 11:53:16] <!> Admin Chat DaBigBoss: mou pire allos to host sto ultra-h epidi eixa 3exasei na mpo :D
[01/23/2015 | 11:53:22] <!> Admin Chat SecretBoss: ok
[01/23/2015 | 11:53:31] <!> Admin Chat DaBigBoss: pos to ekanes auto re na grafeis mauro ? :D
[01/23/2015 | 11:53:39] <!> Admin Chat SecretBoss: malakia
[01/23/2015 | 11:53:42] <!> Admin Chat SecretBoss: ekana lathos
[01/23/2015 | 11:53:50] <!> Admin Chat DaBigBoss: me poio to ekanes ?
[01/23/2015 | 11:54:06] <!> Admin Chat SecretBoss: OnPlayerText
[01/23/2015 | 11:54:16] <!> Admin Chat DaBigBoss: mia xara file 
[01/23/2015 | 11:54:18] <!> Admin Chat DaBigBoss: einai
[01/23/2015 | 11:54:19] <!> Admin Chat SecretBoss: ?
[01/23/2015 | 11:54:27] <!> Admin Chat SecretBoss: den einai oreo xroma
[01/23/2015 | 11:54:38] <!> Admin Chat DaBigBoss: mpori na to xrisimopoisoume gia tous vips
[01/23/2015 | 11:54:48] <!> Admin Chat SecretBoss: kali idea
[01/23/2015 | 11:54:51] <!> Admin Chat DaBigBoss: kai allo gia tous admins
[01/23/2015 | 11:54:59] <!> Admin Chat SecretBoss: einai diskolo
[01/23/2015 | 11:55:08] <!> Admin Chat SecretBoss: /god
[01/23/2015 | 11:55:09] <!> Admin Chat DaBigBoss: if is player admin onplayerText kai ta lipa nomizo
[01/23/2015 | 11:55:23] <!> Admin Chat SecretBoss: nai omos to jadmin einai fs
[01/23/2015 | 11:55:42] <!> Admin Chat DaBigBoss: sto fs kanto auto
[01/23/2015 | 11:58:27] <!> Admin Chat DaBigBoss: re den exoume /pm :D
[01/23/2015 | 11:58:36] <!> Admin Chat SecretBoss: pooo ksexasa telios
[01/23/2015 | 12:01:39] <!> Admin Chat SecretBoss: xaxa
[01/23/2015 | 12:01:44] <!> Admin Chat DaBigBoss: ?
[01/23/2015 | 12:03:21] <!> Admin Chat DaBigBoss: lol piges na me crasharis leei
[01/23/2015 | 12:03:26] <!> Admin Chat SecretBoss: ti?
[01/23/2015 | 12:03:28] <!> Admin Chat DaBigBoss: to sob
[01/23/2015 | 12:03:32] <!> Admin Chat SecretBoss: oti nane
[01/23/2015 | 12:03:33] <!> Admin Chat DaBigBoss: leei piges na crasharis
