[01/23/2015 | 13:54:21] ** ayay(1) has been exploded by Administrator blackNred [Reason: N/A]
[01/23/2015 | 13:54:37] ** ayay(1) has been exploded by Administrator blackNred [Reason: N/A]
[01/23/2015 | 13:54:41] ** ayay(1) has been exploded by Administrator blackNred [Reason: N/A]
[01/23/2015 | 13:54:41] ** ayay(1) has been exploded by Administrator blackNred [Reason: N/A]
[01/23/2015 | 13:54:42] ** ayay(1) has been exploded by Administrator blackNred [Reason: N/A]
[01/23/2015 | 18:35:43] ** Tyler_J_Smith(0) has been exploded by Administrator SecretBoss [Reason: N/A]
[01/23/2015 | 18:35:44] ** Tyler_J_Smith(0) has been exploded by Administrator SecretBoss [Reason: N/A]
[01/24/2015 | 04:57:03] ** SecretBoss(0) has been exploded by Administrator SecretBoss [Reason: N/A]
[01/24/2015 | 04:57:04] ** SecretBoss(0) has been exploded by Administrator SecretBoss [Reason: N/A]
[01/24/2015 | 06:21:27] ** SecretBoss(0) has been exploded by Administrator SecretBoss [Reason: N/A]
[01/24/2015 | 06:21:28] ** SecretBoss(0) has been exploded by Administrator SecretBoss [Reason: N/A]
[01/24/2015 | 06:21:29] ** SecretBoss(0) has been exploded by Administrator SecretBoss [Reason: N/A]
[01/24/2015 | 06:21:29] ** SecretBoss(0) has been exploded by Administrator SecretBoss [Reason: N/A]
[01/24/2015 | 06:21:30] ** SecretBoss(0) has been exploded by Administrator SecretBoss [Reason: N/A]
[01/24/2015 | 06:21:30] ** SecretBoss(0) has been exploded by Administrator SecretBoss [Reason: N/A]
[01/24/2015 | 06:21:31] ** SecretBoss(0) has been exploded by Administrator SecretBoss [Reason: N/A]
[01/24/2015 | 06:21:31] ** SecretBoss(0) has been exploded by Administrator SecretBoss [Reason: N/A]
[01/24/2015 | 06:21:31] ** SecretBoss(0) has been exploded by Administrator SecretBoss [Reason: N/A]
[01/24/2015 | 06:21:32] ** SecretBoss(0) has been exploded by Administrator SecretBoss [Reason: N/A]
[01/24/2015 | 06:21:33] ** SecretBoss(0) has been exploded by Administrator SecretBoss [Reason: N/A]
[01/24/2015 | 06:21:33] ** SecretBoss(0) has been exploded by Administrator SecretBoss [Reason: N/A]
[01/24/2015 | 06:21:33] ** SecretBoss(0) has been exploded by Administrator SecretBoss [Reason: N/A]
