[01/23/2015 | 12:05:58] Administrator SecretBoss has set SecretBoss's score to 1000
[01/23/2015 | 18:33:56] Administrator SecretBoss has set SecretBoss's cash to $0
[01/23/2015 | 18:35:32] Administrator SecretBoss has set SecretBoss's cash to $1000000
[01/27/2015 | 12:00:53] Administrator DaBigBoss has set EatDust's score to 1000
[01/30/2015 | 10:16:12] Administrator Tyler_J_Smith has set Tyler_J_Smith's cash to $9999999
[01/30/2015 | 10:16:17] Administrator Tyler_J_Smith has set Tyler_J_Smith's cash to $99999990
[01/30/2015 | 10:16:19] Administrator Tyler_J_Smith has set Tyler_J_Smith's cash to $99999999
[01/30/2015 | 10:16:21] Administrator Tyler_J_Smith has set Tyler_J_Smith's cash to $999999999
[01/30/2015 | 10:16:31] Administrator Tyler_J_Smith has set Tyler_J_Smith's cash to $1215752191
[01/30/2015 | 10:16:34] Administrator Tyler_J_Smith has set Tyler_J_Smith's cash to $276447231
[01/30/2015 | 10:18:42] Administrator Tyler_J_Smith has set Tyler_J_Smith's cash to $276447231
[01/30/2015 | 10:18:44] Administrator Tyler_J_Smith has set Tyler_J_Smith's cash to $-727379969
[01/30/2015 | 10:18:46] Administrator Tyler_J_Smith has set Tyler_J_Smith's cash to $1215752191
[01/30/2015 | 10:18:53] Administrator Tyler_J_Smith has set Tyler_J_Smith's cash to $1410065407
[01/30/2015 | 10:18:54] Administrator Tyler_J_Smith has set Tyler_J_Smith's cash to $999999999
[01/30/2015 | 10:19:04] Administrator Tyler_J_Smith has set Tyler_J_Smith's cash to $1410065407
[01/30/2015 | 10:19:05] Administrator Tyler_J_Smith has set Tyler_J_Smith's cash to $1410065407
[01/30/2015 | 10:19:07] Administrator Tyler_J_Smith has set Tyler_J_Smith's cash to $1215752191
[01/30/2015 | 10:20:36] Administrator Tyler_J_Smith has set Tyler_J_Smith's cash to $999
[01/30/2015 | 10:20:44] Administrator Tyler_J_Smith has set Tyler_J_Smith's cash to $999999999
[01/30/2015 | 10:21:29] Administrator blackNred has set blackNred's cash to $1000
[01/31/2015 | 04:20:31] Administrator blackNred has set blackNred's score to 10000
[01/31/2015 | 04:22:20] Administrator blackNred has set blackNred's cash to $1000000
[01/31/2015 | 04:29:18] Administrator Tyler_J_Smith has set Tyler_J_Smith's score to 9999
[01/31/2015 | 04:29:23] Administrator Tyler_J_Smith has set Tyler_J_Smith's score to 90000
[01/31/2015 | 04:29:40] Administrator blackNred has set Tyler_J_Smith's score to 0
[01/31/2015 | 04:29:45] Administrator blackNred has set blackNred's score to 0
[01/31/2015 | 04:29:54] Administrator Tyler_J_Smith has set Tyler_J_Smith's score to 1250
[01/31/2015 | 04:31:50] Administrator Tyler_J_Smith has set Tyler_J_Smith's cash to $1800000
[01/31/2015 | 04:31:59] Administrator Tyler_J_Smith has set Tyler_J_Smith's score to 1300
[01/31/2015 | 04:32:50] Administrator blackNred has set blackNred's score to 1000
[01/31/2015 | 23:35:20] Administrator KazEndless has set KazEndless's score to 0
[02/03/2015 | 06:41:43] Administrator KazEndless has set KazEndless's score to 10000
[02/03/2015 | 06:41:49] Administrator KazEndless has set KazEndless's score to 1215752192
[02/03/2015 | 06:42:26] Administrator KazEndless has set KazEndless's score to 0
[02/03/2015 | 10:24:20] Administrator KazEndless has set Mne_5Let's cash to $1000000
[02/08/2015 | 07:06:52] Administrator KazEndless has set Rex's cash to $1000000
[02/08/2015 | 07:11:27] Administrator KazEndless has set rowan500's cash to $1000000
[02/08/2015 | 07:14:33] Administrator KazEndless has set Rex's score to 40
[02/08/2015 | 07:14:37] Administrator KazEndless has set rowan500's score to 40
[02/08/2015 | 07:14:47] Administrator KazEndless has set PreDoToR's score to 40
[02/08/2015 | 07:14:52] Administrator KazEndless has set KazEndless's score to 40
